cartodb_id,the_geom,location_id,_2015_count,_2016_count,change_2015_16
1,,1,17362,9335,-8027
2,,2,1536,823,-713
3,,3,26476,100207,73731
4,,4,255644,503094,247450
5,,5,597,5567,4970
6,,6,3936,16153,12217
7,,7,287169,753987,466818
8,,8,1125,2811,1686
9,,9,13752,49418,35666
10,,10,29400,111801,82401
11,,11,17245,62523,45278
12,,12,7809,16961,9152
13,,13,399774,748783,349009
14,,14,133653,423971,290318
15,,15,11989,37398,25409
16,,16,40606,129766,89160
17,,17,280651,759564,478913
18,,18,48823,145132,96309
19,,19,10243,35119,24876
20,,20,48415,99573,51158
21,,21,36790,138773,101983
22,,22,55046,191431,136385
23,,23,8063,42734,34671
24,,24,81277,179763,98486
25,,25,207748,488465,280717
26,,26,65779,251494,185715
27,,27,936,3427,2491
28,,28,42786,120953,78167
29,,29,22353,77648,55295
30,,30,370,1234,864
31,,31,9223,17342,8119
32,,32,21969,75230,53261
33,,33,223354,478885,255531
34,,34,29722,64271,34549
35,,35,50000,246793,196793
36,,36,351933,801651,449718
37,,37,404007,970467,566460
38,,38,8089,35606,27517
39,,39,72284,362757,290473
40,,40,124051,274467,150416
41,,41,224751,509867,285116
42,,42,224270,503409,279139
43,,43,133456,259110,125654
44,,44,785,6674,5889
45,,45,136071,284805,148734
46,,46,1866,6421,4555
47,,47,34055,78487,44432
48,,48,764701,1462121,697420
49,,49,287150,657488,370338
50,,50,441671,851334,409663
51,,51,37782,154761,116979
52,,52,74308,160534,86226
53,,53,15883,60191,44308
54,,54,36541,78054,41513
55,,55,23809,93777,69968
56,,56,91293,204328,113035
57,,57,7504,20216,12712
58,,58,3283,9386,6103
59,,59,5140,3709,-1431
60,,60,25456,51109,25653
61,,61,403113,1108106,704993
62,,62,91571,284377,192806
63,,63,27575,125268,97693
64,,64,10116,35707,25591
65,,65,171646,425316,253670
66,,66,148734,321390,172656
67,,67,42302,130041,87739
68,,68,822308,1480283,657975
69,,69,51792,150235,98443
70,,70,78111,204538,126427
71,,71,55415,220720,165305
72,,72,61457,262761,201304
73,,73,18676,62818,44142
74,,74,170546,452989,282443
75,,75,193957,471879,277922
76,,76,110412,384308,273896
77,,77,23573,120553,96980
78,,78,62308,98381,36073
79,,79,1139791,2074692,934901
80,,80,353035,758647,405612
81,,81,50742,225330,174588
82,,82,132290,369976,237686
83,,83,42047,112591,70544
84,,84,1542,9540,7998
85,,85,38568,151601,113033
86,,86,2982,16403,13421
87,,87,437049,796149,359100
88,,88,164457,310563,146106
89,,89,160256,538409,378153
90,,90,602783,996034,393251
91,,91,62565,263653,201088
92,,92,81203,268268,187065
93,,93,31962,57242,25280
94,,94,22244,58526,36282
95,,95,142084,400265,258181
96,,96,2988,8284,5296
97,,97,233374,566519,333145
98,,98,15239,53212,37973
99,,99,112,1431,1319
100,,100,453685,853262,399577
101,,101,6953,23996,17043
102,,102,99062,222956,123894
103,,105,45,54,9
104,,106,112241,253875,141634
105,,107,709148,1259862,550714
106,,108,16644,62096,45452
107,,109,1694,13081,11387
108,,110,15,61,46
109,,111,1358,4798,3440
110,,112,402238,877574,475336
111,,113,633876,1034186,400310
112,,114,548087,948278,400191
113,,115,5169,19958,14789
114,,116,139264,309968,170704
115,,117,4034,21862,17828
116,,118,6225,33304,27079
117,,119,98794,111763,12969
118,,120,3496,5528,2032
119,,121,48903,147201,98298
120,,122,7121,35203,28082
121,,123,54743,177175,122432
122,,124,17075,55075,38000
123,,125,315097,516521,201424
124,,126,23144,60476,37332
125,,127,117485,197750,80265
126,,128,5225,13380,8155
127,,129,197748,507375,309627
128,,130,64891,231851,166960
129,,131,23189,77958,54769
130,,132,762931,1528905,765974
131,,133,44015,131861,87846
132,,134,44470,121907,77437
133,,135,38294,113842,75548
134,,136,62252,140273,78021
135,,137,378604,750810,372206
136,,138,736159,1582376,846217
137,,139,10760,51370,40610
138,,140,460583,934162,473579
139,,141,615091,1145869,530778
140,,142,587807,1039162,451355
141,,143,370326,695224,324898
142,,144,665528,1164424,498896
143,,145,235838,513774,277936
144,,146,68983,185337,116354
145,,147,20027,51819,31792
146,,148,699141,1369976,670835
147,,149,32063,123615,91552
148,,150,17220,63717,46497
149,,151,191782,393704,201922
150,,152,69702,153962,84260
151,,153,15127,38417,23290
152,,154,2714,7724,5010
153,,155,34942,148540,113598
154,,156,7911,42223,34312
155,,157,83096,191926,108830
156,,158,688143,1067317,379174
157,,159,43411,105918,62507
158,,160,63744,157099,93355
159,,161,1221694,1971345,749651
160,,162,801949,1394183,592234
161,,163,802044,1263141,461097
162,,164,764843,1388630,623787
163,,165,57007,189218,132211
164,,166,185479,470919,285440
165,,167,49440,91221,41781
166,,168,52493,154227,101734
167,,169,50859,121877,71018
168,,170,842171,1531896,689725
169,,171,31156,114802,83646
170,,172,2509,20331,17822
171,,173,92052,201659,109607
172,,174,32606,118192,85586
173,,175,12708,44525,31817
174,,176,1550,8521,6971
175,,177,73242,236052,162810
176,,178,23503,68908,45405
177,,179,87846,226662,138816
178,,180,19655,68096,48441
179,,181,501692,1092183,590491
180,,182,26805,62790,35985
181,,183,14897,35386,20489
182,,184,2605,5651,3046
183,,185,33155,101075,67920
184,,186,576576,1087017,510441
185,,187,6726,36521,29795
186,,188,144723,458114,313391
187,,189,184905,388869,203964
188,,190,24107,64592,40485
189,,191,22303,90772,68469
190,,192,25195,73936,48741
191,,193,19096,57805,38709
192,,194,6201,20107,13906
193,,195,78816,202119,123303
194,,196,51242,146812,95570
195,,197,57826,180360,122534
196,,198,293334,622908,329574
197,,199,21,105,84
