cartodb_id,the_geom,seven,six,five,four,three,two,one,z,w,s,r,q,n,m,l,j,g,f,e,d,c,b,a,zonecheck,borough,zone,change_2015_16,subway_station,long,lat
298,0101000020E6100000DFE75322647952C02DD560753F694440,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Queens,Longwood,21975,"Intervale Av 2, 5 subway",-73.8967367,40.8222491
1,0101000020E61000005133A48AE27E52C0D4635B069C5D4440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Manhattan,East Village,-41214,1 Av L subway,-73.982577,40.731324
2,0101000020E610000017D7F84CF67D52C088669E5C53664440,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manhattan,Manhattan Valley,31510,103 St 1 subway,-73.968158,40.799419
3,0101000020E61000005DC6A8C6A67C52C0A64D30F724654440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manhattan,East Harlem South,305721,103 St 6 subway,-73.9476792,40.7901906
4,0101000020E61000001A6EC0E7877D52C0672783A3E4654440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Manhattan,Manhattan Valley,-39472,"103 St A, B, C subway",-73.96142,40.79604
5,0101000020E6100000C2660444367752C0AA8A5F67F95F4440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Queens,North Corona,-22552,103 St-Corona Plaza 7 subway,-73.862687115,40.7497987
6,0101000020E61000005FCFD72C977552C040A0336953574440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Queens,Richmond Hill,88147,104 St A subway,-73.837352,40.682233
40,0101000020E6100000637E6E68CA7252C0026553AEF05A4440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Queens,Jamaica,-70779,169 St F subway,-73.793604,40.71047
7,0101000020E61000000742B280097652C00873BB97FB584440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Queens,Richmond Hill,9358,"104 St J, Z subway",-73.84433,40.695178
8,0101000020E61000007FDFBF79717C52C0355F251FBB654440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manhattan,East Harlem South,-12738,110 St 6 subway,-73.944426,40.794773
9,0101000020E6100000E445F6A6E17652C007B64AB038604440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Queens,North Corona,53913,111 St 7 subway,-73.857522717,40.75173
10,0101000020E61000007670B037317552C023BA675DA3574440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Queens,South Ozone Park,-205790,111 St A subway,-73.831129,40.684673
11,0101000020E610000014FF1C8B927552C094895B0531594440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Queens,Richmond Hill,-6800,111 St J subway,-73.8370693,40.6968085
12,0101000020E610000076656199C87C52C02FB319F1AE664440,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manhattan,Central Harlem,-74508,"116 St 2, 3 subway",-73.9497436,40.8022138
13,0101000020E61000003387A4164A7C52C0A7AD11C138664440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manhattan,East Harlem North,12622,116 St 6 subway,-73.942022,40.798607
